DATE,GOLDPMGBD228NLBM
2013-11-12,1281.250
2013-11-13,1272.500
2013-11-14,1286.000
2013-11-15,1287.250
2013-11-18,1283.500
2013-11-19,1275.750
2013-11-20,1257.000
2013-11-21,1240.000
2013-11-22,1246.250
2013-11-25,1243.000
2013-11-26,1247.500
2013-11-27,1245.000
2013-11-28,1245.500
2013-11-29,1253.000
2013-12-02,1229.500
2013-12-03,1217.250
2013-12-04,1227.500
2013-12-05,1222.500
2013-12-06,1233.000
2013-12-09,1237.000
2013-12-10,1266.250
2013-12-11,1260.750
2013-12-12,1225.250
2013-12-13,1232.000
2013-12-16,1234.750
2013-12-17,1231.750
2013-12-18,1230.500
2013-12-19,1196.000
2013-12-20,1195.250
2013-12-23,1199.000
2013-12-24,.
2013-12-25,.
2013-12-26,.
2013-12-27,1214.500
2013-12-30,1204.500
2013-12-31,.
2014-01-01,.
2014-01-02,1225.000
2014-01-03,1234.500
2014-01-06,1246.250
2014-01-07,1227.500
2014-01-08,1221.000
2014-01-09,1226.000
2014-01-10,1244.250
2014-01-13,1248.000
2014-01-14,1251.500
2014-01-15,1236.000
2014-01-16,1241.500
2014-01-17,1250.000
2014-01-20,1255.750
2014-01-21,1238.000
2014-01-22,1241.000
2014-01-23,1263.000
2014-01-24,1267.000
2014-01-27,1260.500
2014-01-28,1251.250
2014-01-29,1264.000
2014-01-30,1242.500
2014-01-31,1251.000
2014-02-03,1262.000
2014-02-04,1250.250
2014-02-05,1254.500
2014-02-06,1256.500
2014-02-07,1259.250
2014-02-10,1277.000
2014-02-11,1282.000
2014-02-12,1289.500
2014-02-13,1296.000
2014-02-14,1320.000
2014-02-17,1327.500
2014-02-18,1320.750
2014-02-19,1320.500
2014-02-20,1316.250
2014-02-21,1323.250
2014-02-24,1334.750
2014-02-25,1339.000
2014-02-26,1331.750
2014-02-27,1332.250
2014-02-28,1326.500
2014-03-03,1349.500
2014-03-04,1334.750
2014-03-05,1337.000
2014-03-06,1345.250
2014-03-07,1335.250
2014-03-10,1344.000
2014-03-11,1346.250
2014-03-12,1366.000
2014-03-13,1368.750
2014-03-14,1385.000
2014-03-17,1378.500
2014-03-18,1355.750
2014-03-19,1338.000
2014-03-20,1327.000
2014-03-21,1336.000
2014-03-24,1310.750
2014-03-25,1313.500
2014-03-26,1304.000
2014-03-27,1296.000
2014-03-28,1294.750
2014-03-31,1291.750
2014-04-01,1283.750
2014-04-02,1292.000
2014-04-03,1284.000
2014-04-04,1297.250
2014-04-07,1299.000
2014-04-08,1309.500
2014-04-09,1301.750
2014-04-10,1320.500
2014-04-11,1318.000
2014-04-14,1325.750
2014-04-15,1298.000
2014-04-16,1301.500
2014-04-17,1299.000
2014-04-18,.
2014-04-21,.
2014-04-22,1286.750
2014-04-23,1285.250
2014-04-24,1291.500
2014-04-25,1301.250
2014-04-28,1299.000
