Date,ACWI Standard (Large+Mid Cap) 
2015-10-28,413.644
2015-10-29,411.345
2015-10-30,411.249
2015-11-02,413.403
2015-11-03,414.378
2015-11-04,413.954
2015-11-05,413.093
2015-11-06,411.157
2015-11-09,407.955
2015-11-10,407.243
2015-11-11,407.54
2015-11-12,403.115
2015-11-13,398.779
2015-11-16,401.283
2015-11-17,403.668
2015-11-18,406.977
2015-11-19,409.607
2015-11-20,410.398
2015-11-23,409.082
2015-11-24,408.597
2015-11-25,408.967
2015-11-26,410.367
2015-11-27,409.045
2015-11-30,407.197
2015-12-01,411.151
2015-12-02,407.956
2015-12-03,403.928
2015-12-04,407.183
2015-12-07,405.186
2015-12-08,401.138
2015-12-09,399.758
2015-12-10,399.35
2015-12-11,392.947
2015-12-14,391.63
2015-12-15,395.155
2015-12-16,400.467
2015-12-17,397.933
2015-12-18,392.845
2015-12-21,394.048
2015-12-22,396.645
2015-12-23,401.689
2015-12-24,402.274
2015-12-25,402.134
2015-12-28,401.31
2015-12-29,404.585
2015-12-30,402.192
2015-12-31,399.362
2016-01-01,399.366
2016-01-04,391.159
2016-01-05,391.14
2016-01-06,386.277
2016-01-07,377.915
2016-01-08,374.751
2016-01-11,373.099
2016-01-12,373.979
2016-01-13,370.512
2016-01-14,371.237
2016-01-15,364.472
2016-01-18,362.683
2016-01-19,364.613
2016-01-20,357.322
2016-01-21,358.449
2016-01-22,367.97
2016-01-25,364.838
2016-01-26,367.633
2016-01-27,367.052
2016-01-28,367.639
2016-01-29,375.017
2016-02-01,375.986
2016-02-02,369.307
2016-02-03,369.386
2016-02-04,371.989
2016-02-05,366.57
2016-02-08,360.807
2016-02-09,358.431
2016-02-10,358.078
2016-02-11,353.352
2016-02-12,357.073
2016-02-15,361.631
2016-02-16,365.32
2016-02-17,370.824
2016-02-18,371.153
2016-02-19,369.74
2016-02-22,374.458
2016-02-23,370.474
2016-02-24,368.769
2016-02-25,372.88
2016-02-26,373.232
2016-02-29,371.662
2016-03-01,378.379
2016-03-02,381.936
2016-03-03,384.683
2016-03-04,387.33
2016-03-07,387.447
2016-03-08,384.072
2016-03-09,385.096
2016-03-10,384.944
2016-03-11,391.747
2016-03-14,392.16
2016-03-15,389.728
2016-03-16,390.254
2016-03-17,396.177
2016-03-18,397.214
2016-03-21,396.916
2016-03-22,396.965
2016-03-23,393.866
2016-03-24,391.507
2016-03-25,391.77
2016-03-28,392.655
2016-03-29,394.529
2016-03-30,399.152
2016-03-31,398.255
2016-04-01,396.009
2016-04-04,396.168
2016-04-05,390.677
2016-04-06,393.714
2016-04-07,391.177
2016-04-08,393.83
2016-04-11,394.167
2016-04-12,397.121
2016-04-13,402.528
2016-04-14,403.849
2016-04-15,403.585
2016-04-18,404.492
2016-04-19,408.748
2016-04-20,409.052
2016-04-21,408.26
2016-04-22,406.919
2016-04-25,405.869
2016-04-26,406.681
2016-04-27,406.771
2016-04-28,404.947
2016-04-29,403.34
2016-05-02,404.165
2016-05-03,399.774
2016-05-04,396.232
2016-05-05,395.416
2016-05-06,395.656
2016-05-09,395.376
2016-05-10,399.88
2016-05-11,397.994
2016-05-12,397.178
2016-05-13,393.627
2016-05-16,396.419
2016-05-17,395.136
2016-05-18,394.67
2016-05-19,391.132
2016-05-20,393.954
2016-05-23,393.212
2016-05-24,397.232
2016-05-25,400.949
2016-05-26,401.813
2016-05-27,402.932
2016-05-30,403.067
2016-05-31,402.574
2016-06-01,402.183
2016-06-02,402.487
2016-06-03,403.869
2016-06-06,405.914
2016-06-07,408.257
2016-06-08,409.663
2016-06-09,407.096
2016-06-10,401.366
2016-06-13,396.411
2016-06-14,392.806
2016-06-15,393.788
2016-06-16,392.14
2016-06-17,394.116
2016-06-20,400.998
2016-06-21,402.213
2016-06-22,402.223
2016-06-23,407.686
2016-06-24,388.265
2016-06-27,379.692
2016-06-28,386.143
2016-06-29,394.603
2016-06-30,399.29
2016-07-01,401.069
2016-07-04,401.412
2016-07-05,397.507
2016-07-06,395.842
2016-07-07,396.923
2016-07-08,400.99
2016-07-11,404.879
2016-07-12,408.391
2016-07-13,409.303
2016-07-14,411.696
2016-07-15,411.218
2016-07-18,412.06
2016-07-19,410.833
2016-07-20,412.824
2016-07-21,412.431
2016-07-22,412.675
2016-07-25,412.01
2016-07-26,412.536
2016-07-27,412.78
2016-07-28,413.121
2016-07-29,416.088
2016-08-01,415.653
2016-08-02,412.953
2016-08-03,411.855
2016-08-04,413.17
2016-08-05,415.582
2016-08-08,416.79
2016-08-09,418.865
2016-08-10,418.802
2016-08-11,420.832
2016-08-12,421.021
2016-08-15,422.03
2016-08-16,420.182
2016-08-17,420.036
2016-08-18,421.495
2016-08-19,420.115
2016-08-22,419.971
2016-08-23,421.371
2016-08-24,419.285
2016-08-25,418.516
2016-08-26,418.418
2016-08-29,418.036
2016-08-30,417.767
2016-08-31,416.613
2016-09-01,417.351
2016-09-02,420.17
2016-09-05,421.278
2016-09-06,423.816
2016-09-07,424.289
2016-09-08,423.696
2016-09-09,414.904
2016-09-12,415.583
2016-09-13,410.891
2016-09-14,410.35
2016-09-15,413.203
2016-09-16,411.183
2016-09-19,413.263
2016-09-20,413.354
2016-09-21,417.687
2016-09-22,422.533
2016-09-23,420.017
2016-09-26,416.202
2016-09-27,417.574
2016-09-28,418.869
2016-09-29,417.665
2016-09-30,418.434
2016-10-03,418.234
2016-10-04,417.356
2016-10-05,418.055
2016-10-06,417.554
2016-10-07,416.145
2016-10-10,417.829
2016-10-11,413.07
2016-10-12,411.892
2016-10-13,410.0
2016-10-14,411.209
2016-10-17,409.823
2016-10-18,413.388
2016-10-19,414.85
2016-10-20,414.268
2016-10-21,413.537
2016-10-24,414.998
2016-10-25,413.902
2016-10-26,413.236
2016-10-27,411.833
2016-10-28,410.943
2016-10-31,411.015
2016-11-01,409.384
2016-11-02,406.352
2016-11-03,404.832
2016-11-04,403.096
2016-11-07,409.345
2016-11-08,411.057
2016-11-09,410.94
2016-11-10,411.751
2016-11-11,409.472
2016-11-14,407.945
2016-11-15,410.128
2016-11-16,409.68
2016-11-17,411.531
2016-11-18,409.316
2016-11-21,412.299
2016-11-22,413.367
2016-11-23,412.565
2016-11-24,413.134
2016-11-25,414.96
2016-11-28,413.64
2016-11-29,413.928
2016-11-30,413.43
2016-12-01,412.46
2016-12-02,412.25
2016-12-05,414.273
2016-12-06,416.754
2016-12-07,421.701
2016-12-08,423.084
2016-12-09,424.556
2016-12-12,424.297
2016-12-13,427.519
2016-12-14,425.073
2016-12-15,422.364
2016-12-16,422.298
2016-12-19,422.906
2016-12-20,423.479
2016-12-21,423.183
2016-12-22,422.253
2016-12-23,422.49
2016-12-26,422.39
2016-12-27,422.951
2016-12-28,421.11
2016-12-29,422.018
2016-12-30,421.839
2017-01-02,422.223
2017-01-03,423.615
2017-01-04,427.214
2017-01-05,429.572
2017-01-06,429.679
2017-01-09,428.215
2017-01-10,429.166
2017-01-11,428.904
2017-01-12,430.55
2017-01-13,431.549
2017-01-16,430.233
2017-01-17,430.333
2017-01-18,431.1
2017-01-19,428.841
2017-01-20,430.221
2017-01-23,430.399
2017-01-24,432.703
2017-01-25,436.169
2017-01-26,435.959
2017-01-27,435.84
2017-01-30,433.252
2017-01-31,433.128
2017-02-01,433.534
2017-02-02,434.019
2017-02-03,436.45
2017-02-06,435.086
2017-02-07,434.725
2017-02-08,435.893
2017-02-09,437.232
2017-02-10,439.012
2017-02-13,441.144
2017-02-14,441.136
2017-02-15,443.671
2017-02-16,444.517
2017-02-17,444.165
2017-02-20,444.46
2017-02-21,445.918
2017-02-22,446.044
2017-02-23,446.746
2017-02-24,445.322
2017-02-27,445.325
2017-02-28,444.503
2017-03-01,448.414
2017-03-02,446.689
2017-03-03,446.448
2017-03-06,445.911
2017-03-07,444.913
2017-03-08,443.571
2017-03-09,443.208
2017-03-10,445.524
2017-03-13,447.052
2017-03-14,445.61
2017-03-15,448.2
2017-03-16,451.359
2017-03-17,451.259
2017-03-20,451.059
2017-03-21,448.049
2017-03-22,446.925
2017-03-23,447.478
2017-03-24,447.72
2017-03-27,447.403
2017-03-28,450.599
2017-03-29,450.223
2017-03-30,450.785
2017-03-31,448.866
2017-04-03,448.198
2017-04-04,448.425
2017-04-05,447.755
2017-04-06,447.589
2017-04-07,447.26
2017-04-10,447.358
2017-04-11,447.412
2017-04-12,446.55
2017-04-13,444.664
2017-04-14,444.357
2017-04-17,447.46
2017-04-18,445.308
2017-04-19,444.565
2017-04-20,447.353
2017-04-21,446.536
2017-04-24,453.406
2017-04-25,456.225
2017-04-26,456.305
2017-04-27,455.879
2017-04-28,455.173
2017-05-01,456.174
2017-05-02,457.397
2017-05-03,456.621
2017-05-04,457.051
2017-05-05,459.171
2017-05-08,459.646
2017-05-09,459.087
2017-05-10,459.859
2017-05-11,459.113
2017-05-12,459.596
2017-05-15,461.868
2017-05-16,463.106
2017-05-17,457.687
2017-05-18,456.288
2017-05-19,459.64
2017-05-22,462.237
2017-05-23,462.662
2017-05-24,462.931
2017-05-25,464.882
2017-05-26,464.496
2017-05-29,464.292
2017-05-30,463.729
2017-05-31,463.794
2017-06-01,466.404
2017-06-02,469.355
2017-06-05,468.734
2017-06-06,467.424
2017-06-07,467.632
2017-06-08,467.189
2017-06-09,466.84
2017-06-12,465.48
2017-06-13,467.687
2017-06-14,468.273
2017-06-15,464.736
2017-06-16,466.156
2017-06-19,469.526
2017-06-20,466.293
2017-06-21,465.632
2017-06-22,466.086
2017-06-23,466.982
2017-06-26,467.9
2017-06-27,465.639
2017-06-28,468.45
2017-06-29,465.937
2017-06-30,465.088
2017-07-03,466.161
2017-07-04,465.408
2017-07-05,465.878
2017-07-06,463.25
2017-07-07,463.958
2017-07-10,465.157
2017-07-11,465.309
2017-07-12,469.618
2017-07-13,471.058
2017-07-14,473.784
2017-07-17,474.127
2017-07-18,474.445
2017-07-19,476.72
2017-07-20,477.705
2017-07-21,476.768
2017-07-24,476.133
2017-07-25,477.238
2017-07-26,477.551
2017-07-27,478.25
2017-07-28,477.245
2017-07-31,477.583
2017-08-01,479.727
2017-08-02,479.757
2017-08-03,479.111
2017-08-04,479.072
2017-08-07,480.353
2017-08-08,479.452
2017-08-09,477.89
2017-08-10,472.581
2017-08-11,471.334
2017-08-14,475.095
2017-08-15,474.316
2017-08-16,475.753
2017-08-17,472.097
2017-08-18,470.627
2017-08-21,471.233
2017-08-22,474.482
2017-08-23,473.989
2017-08-24,473.807
2017-08-25,475.017
2017-08-28,475.371
2017-08-29,474.906
2017-08-30,475.793
2017-08-31,478.406
2017-09-01,479.898
2017-09-04,478.949
2017-09-05,477.162
2017-09-06,478.042
2017-09-07,479.57
2017-09-08,479.615
2017-09-11,483.787
2017-09-12,485.305
2017-09-13,484.828
2017-09-14,484.136
2017-09-15,485.181
2017-09-18,486.356
2017-09-19,487.371
2017-09-20,488.056
2017-09-21,486.054
2017-09-22,486.661
2017-09-25,484.749
2017-09-26,483.071
2017-09-27,484.013
2017-09-28,484.63
2017-09-29,486.879
2017-10-02,487.831
2017-10-03,489.629
2017-10-04,490.162
